ID; Nome; Apelido; RB; FC; GC; CA; CV; SG; DD; DP; GS; FS; PE; A; FT; FD; FF; G; I; PP
81223;Frickson Rafael  Erazo Vivero;Erazo;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
78497;Arnaldo Manoel de Almeida;Arnaldo;5.0;4.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;5.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
80853;Pedro Tonon Geromel;Pedro Geromel;12.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
80944;Johnath Marlone Azevedo da Silva;Marlone;7.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;16.0;30.0;2.0;0.0;7.0;5.0;1.0;1.0;0.0
83772;Neilton Meira Mestzk;Neilton;18.0;13.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;21.0;38.0;3.0;0.0;2.0;10.0;4.0;3.0;0.0
80975;Romário Guilherme dos Santos;Romário ;12.0;9.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;5.0;22.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0
80895;Maximiliano Lélis Rodrigues;Max;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81537;Vinícius Freitas Ribeiro;Vinícius Freitas;3.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
81684;Andrés Lorenzo Ríos;Andrés Ríos;5.0;32.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;18.0;11.0;1.0;1.0;4.0;4.0;3.0;1.0;1.0
81543;Josué de Oliveira Almeida;Josué;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81770;Clayton Silveira da Silva;Clayton;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81682;Juan Ramón Cazares Sevillano;Cazares;7.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;34.0;2.0;0.0;6.0;11.0;2.0;0.0;0.0
81898;Osman de Menezes Venâncio Junior;Osman;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81905;José Henrique da Silva Dourado;Henrique Dourado;2.0;17.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;16.0;9.0;0.0;0.0;1.0;6.0;3.0;4.0;0.0
81881;João Ricardo Riedi;João Ricardo;0.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;6.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81794;Cláudio Prates;Cláudio Prates;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
82455;José Rafael Vivian;Zé Rafael ;26.0;20.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;35.0;27.0;0.0;3.0;11.0;12.0;1.0;1.0;0.0
82411;Christian Alberto Cueva Bravo;Cueva;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;9.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0
81798;Rosicley Pereira da Silva;Rossi;5.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;6.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0
82381;Adilson dos Anjos Oliveira;Juninho;30.0;11.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;12.0;25.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0
81845;Alisson Euler de Freitas Castro;Alisson;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;8.0;0.0;0.0;3.0;4.0;0.0;0.0;0.0
82626;Thales Natanael Lira de Matos;Thales ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
82469;Douglas Coutinho Gomes de Souza;Douglas Coutinho ;2.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
82634;Matheus Galdezani;Matheus Galdezani;2.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
83257;Gabriel Barbosa Almeida;Gabriel;9.0;14.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;18.0;29.0;1.0;0.0;5.0;17.0;4.0;6.0;0.0
83048;Rafael Thyere Albuquerque Marques;Rafael Thyere;14.0;7.0;0.0;4.0;0.0;3.0;0.0;0.0;0.0;7.0;13.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
82758;Hyuri Henrique de Oliveira Costa;Hyuri;4.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;5.0;0.0;0.0;1.0;3.0;0.0;1.0;0.0
82647;Régis Augusto Salmazzo;Régis;10.0;7.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;10.0;21.0;0.0;1.0;0.0;5.0;2.0;0.0;0.0
82639;Marcelo Hermes;Marcelo Hermes;5.0;4.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;15.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
82939;Ruy Franco de Almeida Junior;Ruy;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
83433;Patrick Bezerra do Nascimento;Patrick;32.0;20.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;13.0;25.0;1.0;0.0;4.0;6.0;2.0;0.0;0.0
82792;Maurício Nogueira Barbieri;Maurício Barbieri;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
78445;Renê Rodrigues Martins;Renê;24.0;11.0;0.0;2.0;0.0;8.0;0.0;0.0;0.0;7.0;45.0;2.0;0.0;2.0;1.0;0.0;1.0;0.0
83528;Leonardo Pereira;Léo Pereira;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
83615;Thiago Martins Bueno;Thiago Martins;4.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
81241;Oswaldo José Henríquez Bocanegra;Oswaldo Henríquez;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
83786;Hueglo Neris dos Santos;Neris;10.0;6.0;0.0;2.0;1.0;2.0;0.0;0.0;0.0;1.0;11.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0
84187;Charles Luis Reiter;Charles;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
83817;Clayson Henrique da Silva Vieira;Clayson;6.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;6.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0
84558;Lucas Daniel Romero;Lucas Romero;12.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;16.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
84509;Andrevaldo de Jesus Santos;Valdo;11.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
84555;Glauco Tadeu Chaves;Glauco;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84310;Luan Viana Patrocinio;Luan Viana;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
84585;Agustín Lionel Allione;Allione;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0
84709;Nicolás Federico López Alonso;Nico López;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;12.0;0.0;1.0;5.0;3.0;3.0;1.0;0.0
84718;Denilson Pereira Junior;Denilson;3.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;8.0;0.0;0.0;1.0;5.0;2.0;3.0;0.0
84761;Claudinei dos Santos Oliveira;Claudinei Oliveira;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84855;Raul Prata;Raul Prata;19.0;5.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;11.0;22.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
84847;Luan Peres Petroni;Luan Peres ;11.0;7.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;13.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
84863;Alberto Valentim do Carmo Neto;Alberto Valentim;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84851;Lucas Cândido Silva;Lucas Cândido;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84848;Erik Nascimento Lima;Erik;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;5.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
