Nome; Slug; Apelido; Foto; ID; Rodada; Clube ID; Posicao ID; Status ID; Pontos; Preco; Variacao; Media; Jogos
98221;Ilson Cedric Borges de Accacio Lima;cedric;Cedric;https://s.glbimg.com/es/sde/f/2018/04/13/c08bc02fcc7613cf3c7510a566c68288_FORMATO.png;1;287;2;6;0.0;3.0;0.0;0.0;0
101483;Isaque Elias Brito;isaque;Isaque;;1;284;4;6;0.0;2.0;0.0;0.0;0
70934;Jackson de Souza;jackson;Jackson;https://s.glbimg.com/es/sde/f/2018/03/21/e56086be050e46bbe8c085917b5255c1_FORMATO.png;1;265;3;6;0.0;4.0;0.0;0.0;0
99629;Jadson Ailton Oliveira Da Silva Vale;jadson;Jadson;https://s.glbimg.com/es/sde/f/2017/06/07/2e7afba6e715b27222707a3f207ad556_FORMATO.jpeg;1;284;5;6;0.0;1.0;0.0;0.0;0
80129;Jadson Alves dos Santos;jadson;Jadson;https://s.glbimg.com/es/sde/f/2018/01/21/0c060ebb8aea4462398eb955f393f2b5_FORMATO.png;1;266;4;7;6.9;8.89;2.89;6.9;1
38315;Jadson Rodrigues da Silva;jadson;Jadson;https://s.glbimg.com/es/sde/f/2018/03/20/6abc8106b7c4341690dfaa6a5f4fbfdb_FORMATO.png;1;264;4;2;0.0;12.0;0.0;0.0;0
60859;Jael Ferreira Vieira;jael;Jael;https://s.glbimg.com/es/sde/f/2017/04/23/585f69babcaf14c7eaf22537e3c5338c_FORMATO.png;1;284;5;6;0.0;5.0;0.0;0.0;0
72290;Jailson Marcelino dos Santos;jailson;Jailson;https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_FORMATO.png;1;275;1;7;3.1;11.78;-2.22;3.1;1
92180;Jair Ventura;jair-ventura;Jair Ventura;https://s.glbimg.com/es/sde/f/2018/03/21/10609de2a8557beb4ca271f2a8ae1f90_FORMATO.png;1;277;6;7;6.45;12.02;1.02;6.45;1
90290;Jaílson Marques Siqueira;jailson;Jailson;https://s.glbimg.com/es/sde/f/2017/04/23/bbc1e20f5a841fe3d2fc8cbf1553e368_FORMATO.png;1;284;4;2;2.0;5.51;-0.49;2.0;1
